1;-490.0
2;-491.0
3;-488.0
4;-492.0
5;-491.0
6;-491.0
7;-415.0
8;-491.0
9;-490.0
10;-490.0
11;-451.0
12;-487.0
13;-487.0
14;-428.0
15;-471.0
16;-489.0
17;-491.0
18;-492.0
19;-487.0
20;-491.0
21;-491.0
22;-492.0
23;-438.0
24;-491.0
25;-490.0
26;-461.0
27;-489.0
28;-491.0
29;-490.0
30;-491.0
31;1000.0
32;-444.0
33;-485.0
34;-485.0
35;-491.0
36;-490.0
37;-491.0
38;-468.0
39;-490.0
40;-492.0
41;-490.0
42;1000.0
43;-459.0
44;-492.0
45;-488.0
46;-492.0
47;-490.0
48;-490.0
49;-492.0
50;-488.0
51;-393.0
52;-491.0
53;-440.0
54;-465.0
55;-490.0
56;-392.0
57;-489.0
58;-487.0
59;-488.0
60;-492.0
61;-490.0
62;-492.0
63;-491.0
64;-490.0
65;-490.0
66;-490.0
67;-491.0
68;-439.0
69;-486.0
70;-490.0
71;-451.0
72;-491.0
73;-429.0
74;-488.0
75;-490.0
76;-489.0
77;-490.0
78;-490.0
79;-484.0
80;1000.0
81;1000.0
82;1000.0
83;1000.0
84;1000.0
85;1000.0
86;-64.0
87;-398.0
88;-491.0
89;-490.0
90;-489.0
91;-394.0
92;-487.0
93;-489.0
94;-487.0
95;-478.0
96;-490.0
97;-488.0
98;-487.0
99;-488.0
100;-490.0
101;-481.0
102;-489.0
103;-490.0
104;-485.0
105;-458.0
106;-466.0
107;-489.0
108;-489.0
109;-488.0
110;-492.0
111;-489.0
112;-201.0
113;-491.0
114;-490.0
115;-490.0
116;-491.0
117;-492.0
118;-442.0
119;-415.0
120;-491.0
121;-490.0
122;-487.0
123;-489.0
124;-489.0
125;-486.0
126;-488.0
127;-445.0
128;-488.0
129;-490.0
130;-489.0
131;-487.0
132;-488.0
133;-476.0
134;-484.0
135;-464.0
136;-490.0
137;-488.0
138;-480.0
139;-491.0
140;-490.0
141;-437.0
142;-483.0
143;-467.0
144;-456.0
145;-490.0
146;-268.0
147;-425.0
148;-489.0
149;-492.0
150;-491.0
151;-491.0
152;-491.0
153;-489.0
154;-488.0
155;-488.0
156;-490.0
157;-491.0
158;-490.0
159;-491.0
160;-476.0
161;-491.0
162;-490.0
163;-489.0
164;-488.0
165;-491.0
166;-473.0
167;-485.0
168;-490.0
169;-489.0
170;-464.0
171;-422.0
172;-487.0
173;-490.0
174;-457.0
175;-491.0
176;-491.0
177;-490.0
178;-490.0
179;-432.0
180;-270.0
181;-489.0
182;-490.0
183;-491.0
184;-490.0
185;-490.0
186;-460.0
187;-485.0
188;-491.0
189;-486.0
190;-467.0
191;-429.0
192;-490.0
193;-445.0
194;-439.0
195;-466.0
196;-264.0
197;-390.0
198;-490.0
199;-489.0
200;-486.0
201;-489.0
202;-488.0
203;-490.0
204;-489.0
205;-489.0
206;-491.0
207;-490.0
208;-490.0
209;-483.0
210;-488.0
211;-490.0
212;-491.0
213;-459.0
214;-489.0
215;-489.0
216;-490.0
217;-489.0
218;-491.0
219;-491.0
220;-491.0
221;-491.0
222;-487.0
223;-485.0
224;-491.0
225;-489.0
226;-468.0
227;-491.0
228;-490.0
229;-488.0
230;-312.0
231;-476.0
232;-490.0
233;-419.0
234;-472.0
235;-332.0
236;-489.0
237;-491.0
238;-491.0
239;-490.0
240;-489.0
241;-489.0
242;1000.0
243;-410.0
244;-490.0
245;-485.0
246;-457.0
247;-486.0
248;-491.0
249;-490.0
250;1000.0
251;1000.0
252;1000.0
253;1000.0
254;1000.0
255;1000.0
256;1000.0
257;1000.0
258;1000.0
259;1000.0
260;1000.0
261;1000.0
262;1000.0
