N;reward
175;0.382886
176;0.382987
177;0.384362
178;0.382474
179;0.38047
180;0.355897
181;0.3256
182;0.324727
183;0.311996
184;0.308739
185;0.304606
186;0.272561
187;0.262071
188;0.305987
189;0.322386
190;0.317623
191;0.322072
192;0.325345
193;0.33498
194;0.346248
195;0.293025
196;0.275716
197;0.283559
198;0.289755
199;0.286845
200;0.273793
201;0.277926
202;0.266429
203;0.251432
204;0.251667
205;0.254108
206;0.249393
207;0.258081
208;0.260502
209;0.290421
210;0.281063
211;0.197827
212;0.197793
213;0.194582
214;0.151385
215;0.185812
216;0.188523
217;0.163267
218;0.157896
219;0.158238
220;0.151746
221;0.144203
222;0.143219
223;0.139634
224;0.131859
225;0.125236
226;0.118408
227;0.122036
228;0.127852
229;0.132664
230;0.146766
231;0.196132
232;0.208563
233;0.244325
234;0.266886
235;0.307883
236;0.341918
237;0.356899
238;0.421654
239;0.421163
240;0.404022
241;0.40782
242;0.408451
243;0.405945
244;0.400402
245;0.407931
246;0.435293
247;0.437851
248;0.441048
249;0.442577
250;0.445239
251;0.444889
252;0.443797
253;0.469751
254;0.488659
255;0.517354
256;0.520386
257;0.573283
258;0.680646
259;0.679761
260;0.646574
261;0.670855
262;0.762118
263;0.786566
264;0.814913
265;0.849575
266;0.860663
267;0.877856
268;0.890252
269;0.894991
270;0.900565
271;0.961054
272;0.97264
273;0.968841
274;0.958009
275;0.954454
276;0.956831
277;0.980903
278;0.989676
279;0.99427
280;0.995886
281;0.996686
282;0.996644
283;0.995867
284;0.994374
285;0.992077
286;0.987005
287;0.984553
288;0.981509
289;0.979223
290;0.984566
291;0.973982
292;0.972388
293;0.974744
294;0.983537
295;0.988738
296;0.991899
297;0.995361
298;0.99541
299;0.988633
300;0.941143
301;0.899712
302;0.970451
303;0.99416
304;0.998645
305;0.998575
306;0.990489
307;0.992722
308;0.987569
309;0.993032
310;0.953854
311;0.933608
312;0.965638
313;0.976259
314;0.953653
315;0.827213
316;0.734157
317;0.391806
318;0.18645
319;0.335574
320;0.529365
321;0.716276
322;0.844819
323;0.863475
324;0.840275
325;0.915282
326;0.9367
327;0.96888
328;0.985425
329;0.989526
330;0.992602
331;0.994922
332;0.996247
333;0.998066
334;0.998642
335;0.999038
336;0.999234
337;0.908159
338;0.837508
339;0.491131
340;0.298963
341;0.995127
342;0.999747
343;0.999916
344;0.999994
345;0.999997
346;1
347;1
348;1
349;1
350;1
351;1
352;1
353;1
354;1
355;1
356;1
357;1
358;1
359;1
360;1
361;1
362;0.999992
363;0.999579
364;0.986954
365;0.975813
366;0.946833
367;0.966201
368;0.867296
369;0.869569
370;0.91715
371;0.822647
372;0.900615
373;0.913212
374;0.888101
375;0.874266
376;0.883221
377;0.640438
378;0.703935
379;0.441579
380;0.381975
381;0.286759
382;0.206221
383;0.244351
384;0.218751
385;0.325953
386;0.590593
387;0.950452
388;0.956489
389;0.999315
390;0.999998
391;0.999998
392;0.999999
393;1
394;1
395;1
396;1
397;0.999999
398;0.999999
399;1
400;1
401;1
402;1
403;1
404;1
405;1
406;1
407;1
408;1
409;1
410;1
411;1
412;1
413;1
414;1
415;1
416;1
417;1
418;0.998275
419;7.03262e-18
420;0.844129
421;0.978857
422;0.999138
423;0.992922
424;1
425;0.597163
426;0.475091
427;0.999703
428;0.711227
429;0.999998
430;0.999954
431;1
432;4.8964e-18
433;2.92573e-07
434;0.989879
435;1.43172e-10
436;0.00271346
437;0.999877
438;0.760715
439;0.999996
440;0.987015
441;1
442;0.944302
443;6.05928e-09
444;1
445;1
446;0.0255935
447;0.999874
448;0.997095
449;0.996344
450;0.999996
451;0.999993
452;0.999999
453;0.999784
454;0.847085
455;1
456;0.000264294
457;0.752429
458;1
459;0.21058
460;0.999977
461;1.4464e-07
462;1
463;1
464;1.24622e-09
465;1
466;1
467;0.961908
468;0.520647
469;1
470;1
471;0.995899
472;0.999973
473;1
474;1
475;0.999997
476;0.999999
477;1
478;0.999999
479;0.999999
480;1
481;0.999999
482;1
483;1
484;1
485;1
486;1
487;1
488;1
489;1
490;1
491;1
492;1
493;1
494;1
495;1
496;1
497;1
498;1
499;1
500;1
501;1
502;1
503;1
504;1
505;1
506;0.999997
507;1
508;1
509;0.999935
510;1
511;0.0569688
512;1
513;1
514;1.2047e-19
515;0.999998
516;0.000239871
517;5.93596e-07
518;3.60017e-06
519;0.996826
520;0.000298258
521;0.0130954
522;0.000145011
523;0.0710984
524;1.41062e-06
525;1.47849e-05
526;0.0034014
527;0.00206671
528;0.00385575
529;0.000201963
530;0.000302221
531;0.000205073
532;0.000213073
533;0.0625285
534;0.000189688
535;0.000767421
536;3.63362e-07
537;0.000388513
538;0.000582208
539;8.19917e-05
540;2.14141e-05
541;0.000918907
542;8.4464e-05
543;0.000132804
544;2.97466e-07
545;0.000259305
546;0.000202762
547;7.49525e-05
548;2.18276e-05
549;0.00072306
550;0.000159965
551;0.000115564
552;1.99172e-05
553;3.46025e-05
554;0.000119872
555;0.00042735
556;0.0727841
557;1.2422e-05
558;0.000132884
559;0.000309008
560;1
561;0.00189479
562;0.00974934
563;0.0411258
564;0.999791
565;0.00411275
566;0.00624341
567;0.0229453
568;0.831445
569;0.000829582
570;0.00565939
571;0.193092
572;1
573;0.0781361
574;0.0702946
575;0.478395
576;0.996573
577;0.00478685
578;0.136281
579;0.421609
580;0.727881
581;1.36673e-07
582;0.978164
583;0.822
584;0.958062
585;1
586;0.998146
587;0.789662
588;0.0127494
589;0.0184199
590;0.99988
591;0.11394
592;2.64784e-21
593;0.99949
594;0.860805
595;0.00285945
596;0.999974
597;0.975103
598;0.158342
599;1
600;0.977782
601;0.953715
602;1
603;0.999286
604;0.990947
605;9.63301e-08
606;0.99991
607;0.986643
608;3.26287e-10
609;1
610;0.999806
611;1.04702e-13
612;0.99999
613;0.235674
614;0.000704294
615;0.999993
616;0.000489054
617;0.993442
618;1
619;3.72263e-05
620;0.00134204
621;1
622;0.000819087
623;2.33693e-12
624;1
625;0.936021
626;2.19397e-16
627;1
628;0.992888
629;7.7156e-15
630;1
631;0.999986
632;2.27974e-10
633;1
634;0.999993
635;8.84406e-09
636;1
637;0.99999
638;0.953176
639;1
640;1
641;0.00339106
642;1
643;1
644;0.162543
645;1
646;1
647;0.412209
648;0.999918
649;1
650;0.00619044
651;0.999635
652;1
653;0.357595
654;0.999755
655;1
656;8.08411e-08
657;1
658;1
659;9.85147e-26
660;1
661;0.974839
662;0.933287
663;1
664;0.0540291
665;1
666;0.999999
667;2.72357e-14
668;1
669;0.986972
670;0.999218
671;1
672;6.67585e-10
673;1
674;1
675;1.1679e-18
676;1
677;0.924401
678;0.00926478
679;1
680;0.587422
681;0.999994
682;1
683;2.53742e-13
684;1
685;0.998985
686;0.00182075
687;1
688;0.223243
689;1
690;1
691;2.11855e-26
692;1
693;0.999946
694;0.566054
695;1
696;4.03197e-07
697;1
698;1
699;2.65075e-13
700;1
701;0.999999
702;0.970841
703;1
704;3.53742e-06
705;1
706;1
707;3.45102e-14
708;1
709;1
710;1.28307e-15
711;1
712;1
713;0.0182239
714;1
715;1
716;0.978708
717;1
718;1
719;1
720;0.0273371
721;1
722;1
723;1
724;9.41926e-18
725;1
726;1
727;1
728;1
729;1
730;1
731;1
732;1
733;1
734;1
735;1
736;1
737;1
738;1
739;0.08275
740;1
741;1
742;1
743;1
744;1
745;0.579584
746;1
747;1
748;1
749;1
750;1
751;0.00327719
752;1
753;1
754;1
755;1
756;1
757;0.999998
758;0.999977
759;1
760;1
761;1
762;0.237008
763;1
764;1
765;1
766;1
767;0.9493
768;1
769;1
770;1
771;1
772;2.02768e-11
773;1
774;1
775;1
776;0.999999
777;3.67237e-05
778;1
779;1
780;1
781;0.999983
782;4.60485e-16
783;1
784;1
785;1
786;1
787;1
788;1
789;1
790;1
791;1
792;1
793;1
794;1
795;1
796;1
797;1
798;1
799;1
800;1
801;1
802;1
803;1
804;1
805;1
806;1
807;1
808;1
809;1
810;1
811;1
812;1
813;1
814;1
815;1
816;1
817;1
818;1
819;1
820;1
821;1
822;1
823;1
824;1
825;1
826;1
827;1
828;1
829;1
830;1
831;1
832;1
833;1
834;1
835;1
836;1
837;1
838;1
839;1
840;1
841;1
842;1
843;1
844;1
845;1
846;1
847;1
848;1
849;1
850;1
851;1
852;1
853;1
854;1
855;1
856;1
857;1
858;1
859;1
860;1
861;1
862;1
863;1
864;1
865;1
866;1
867;1
868;1
869;1
870;1
871;1
872;1
873;1
874;1
875;7.1808e-12
876;1
877;1
878;1
879;0.999993
880;1
881;0.999685
882;1
883;1
884;1
885;1
886;1
887;1
888;1
889;1
890;1
891;1
892;2.55436e-08
893;1
894;1
895;1
896;1
897;1
898;1
899;1
900;1
901;1
902;1
903;1
904;1
905;0.998095
906;4.53854e-25
907;1
908;1
909;1
910;1
911;1
912;1
913;0.999993
914;0.00144252
915;1
916;1
917;1
918;1
919;1
920;1
921;0.0112771
922;1
923;1
924;1
925;1
926;1
927;1
928;1
929;1
930;1
931;1
932;1
933;1
934;1
935;1
936;1
937;0.999997
938;1
939;1
940;1
941;1
942;1
943;1
944;1
945;1
946;1
947;1
948;1
949;1
950;1
951;1
952;1
953;1
954;1
955;1
956;1
957;1
958;1
959;1
960;0.00325562
961;1
962;1
963;1
964;1
965;1
966;1
967;1
968;5.41814e-09
969;1
970;1
971;1
972;1
973;1
974;1
975;1
976;1
977;8.29382e-14
978;1
979;1
980;1
981;1
982;1
983;1
984;1
985;1
986;5.54173e-12
987;0.942417
988;1
989;0.999986
990;0.944244
991;1
992;0.201304
993;0.90766
994;0.0115664
995;1.21229e-11
996;0.96722
997;0.99997
998;4.904e-14
999;4.79501e-10
1000;0.00682116
1001;3.0495e-19
1002;1.97457e-09
1003;0
1004;-nan
1005;-nan
1006;-nan
1007;-nan
1008;-nan
1009;-nan
1010;-nan
1011;-nan
1012;-nan
1013;-nan
1014;-nan
1015;-nan
1016;-nan
1017;-nan
1018;-nan
1019;-nan
1020;-nan
1021;-nan
1022;-nan
1023;-nan
1024;-nan
1025;-nan
1026;-nan
1027;-nan
1028;-nan
1029;-nan
1030;-nan
1031;-nan
1032;-nan
1033;-nan
1034;-nan
1035;-nan
1036;-nan
1037;-nan
1038;-nan
1039;-nan
1040;-nan
1041;-nan
1042;-nan
1043;-nan
1044;-nan
1045;-nan
1046;-nan
1047;-nan
1048;-nan
1049;-nan
1050;-nan
1051;-nan
1052;-nan
1053;-nan
1054;-nan
1055;-nan
1056;-nan
1057;-nan
1058;-nan
1059;-nan
1060;-nan
1061;-nan
1062;-nan
1063;-nan
1064;-nan
1065;-nan
1066;-nan
1067;-nan
1068;-nan
1069;-nan
1070;-nan
1071;-nan
1072;-nan
1073;-nan
1074;-nan
1075;-nan
1076;-nan
1077;-nan
1078;-nan
1079;-nan
1080;-nan
1081;-nan
1082;-nan
1083;-nan
1084;-nan
1085;-nan
1086;-nan
1087;-nan
1088;-nan
1089;-nan
1090;-nan
1091;-nan
1092;-nan
1093;-nan
1094;-nan
1095;-nan
1096;-nan
1097;-nan
1098;-nan
1099;-nan
1100;-nan
1101;-nan
1102;-nan
1103;-nan
1104;-nan
1105;-nan
1106;-nan
1107;-nan
1108;-nan
1109;-nan
1110;-nan
1111;-nan
1112;-nan
1113;-nan
1114;-nan
1115;-nan
1116;-nan
1117;-nan
1118;-nan
1119;-nan
1120;-nan
1121;-nan
1122;-nan
1123;-nan
1124;-nan
1125;-nan
1126;-nan
1127;-nan
1128;-nan
1129;-nan
1130;-nan
1131;-nan
1132;-nan
1133;-nan
1134;-nan
1135;-nan
1136;-nan
1137;-nan
